id,business_name,owner_name,contact_number,business_type,registration_date,status
26bf2e04-2900-5c51-a63e-fbcc95d4a9c6,Corazon Padala Center,Corazon Torres,+63 920 683 5033,remittance_center,2026-04-30,inactive
a908fe70-98bb-5f1e-8e6a-13439d886521,Jose Pawnshop,Jose Dela Cruz,+63 946 773 9565,pawnshop,2025-06-18,active
676de22a-98af-5829-bf98-7fa524711054,Mang Antonio's Tindahan,Antonio Ramos,+63 929 505 3144,sari_sari_store,2025-09-10,active
0dfdd4f4-02e5-5a55-8a9b-891b9a5b9ba3,Ramon Express,Ramon Cruz,+63 950 736 2638,convenience_store,2025-01-21,active
ab2655b1-724a-5e5b-8fc3-9d2222c45d3e,Antonio Drug Store,Antonio Hernandez,+63 921 457 2127,pharmacy,2023-12-21,active
441546cc-0f25-5a0b-9229-6143b9ae4678,Tindahan ni Fernando,Fernando Garcia,+63 961 820 5956,sari_sari_store,2024-04-18,inactive
69982d29-2f92-54dd-8b42-4b6821813122,Ana Padala Center,Ana Santos,+63 920 999 3200,remittance_center,2026-07-03,active
35625f7c-5f63-5460-8f53-0327ef02828f,Fe's Mini Mart,Fe Bautista,+63 921 378 5616,sari_sari_store,2024-06-29,inactive
e64f1b78-7229-5fe9-af27-3afde2f65983,Mang Teresa's Tindahan,Teresa Ramos,+63 977 973 5325,sari_sari_store,2026-08-15,suspended
daebb761-d794-577f-9fe5-825a32f9b87b,Ricardo Pharmacy,Ricardo Reyes,+63 977 533 5533,pharmacy,2024-06-02,active
6b0694da-04d6-558f-b0eb-84888914018d,Ramon's Sari-Sari,Ramon Ocampo,+63 926 859 8239,sari_sari_store,2025-01-25,suspended
c8bde638-0339-5c07-874c-a95b2af691af,Ernesto Remittance,Ernesto Villanueva,+63 920 177 3442,remittance_center,2026-05-31,suspended
0823e6b2-0533-5be8-a4bb-af369ba421e5,Nelia's Mini Mart,Nelia Aquino,+63 961 251 8041,sari_sari_store,2024-11-22,active
1ebd2a93-70cd-5e1d-bbb3-34ddc32f27e1,Aling Fernando's Store,Fernando Aquino,+63 936 315 5088,sari_sari_store,2025-04-16,active
712ffd3d-3fff-51cc-a23f-448d39b6b496,Tindahan ni Rosario,Rosario Villanueva,+63 975 867 3532,sari_sari_store,2024-11-13,active
c8dc6a3d-79eb-5b47-8a0e-9f7f53a90094,Tindahan ni Lorna,Lorna Garcia,+63 917 283 6442,sari_sari_store,2024-04-16,active
ff19d265-6d5c-5533-b00d-20442de9f58d,Corazon Padala Center,Corazon Torres,+63 926 906 2771,remittance_center,2024-04-23,active
619fe364-9174-5b42-afbb-1da57fee2265,Mang Corazon's Tindahan,Corazon Gonzales,+63 927 936 8541,sari_sari_store,2023-11-28,active
8efebfca-5f24-542a-84ac-0eeb74fbcf60,Mang Nelia's Tindahan,Nelia Torres,+63 917 775 4164,sari_sari_store,2024-02-06,active
bf7b72a3-0007-56d3-aa57-fa8a5a15f1a0,Ricardo's Sari-Sari,Ricardo Cruz,+63 936 756 9346,sari_sari_store,2025-04-22,active
d1897cc1-395a-5ed0-bf25-a6555e7e6a98,Nelia Padala Center,Nelia Villanueva,+63 917 218 5279,remittance_center,2025-07-07,active
94e933d5-3caf-5ecf-9dd4-6ffea84bb0b4,Ricardo Pawnshop,Ricardo Reyes,+63 975 544 6663,pawnshop,2024-07-03,active
e205c222-e396-553f-b26a-47984778b60c,Carmen Express,Carmen Hernandez,+63 945 690 4114,convenience_store,2025-07-07,active
949dca79-71bc-590d-be25-60894849b55b,Aling Teresa's Store,Teresa Flores,+63 956 925 9821,sari_sari_store,2025-04-04,active
66b2e8cb-dc6e-50e7-9b65-5856e207e61d,Ernesto's Sari-Sari,Ernesto Cruz,+63 975 421 3041,sari_sari_store,2025-09-05,active
2caec3f9-91ae-57aa-9eb7-c390813e17c6,Fernando Drug Store,Fernando Flores,+63 945 813 5844,pharmacy,2024-12-09,suspended
f468fc78-5dbd-5c1a-9eb6-da774f7eb9d8,Tindahan ni Antonio,Antonio Flores,+63 926 730 5930,sari_sari_store,2026-07-17,active
f21eb0bf-c2ee-55a1-bfb4-557f1367a9b4,Nelia Drug Store,Nelia Santos,+63 930 315 8043,pharmacy,2023-09-15,inactive
39c7c185-225a-5941-9070-f37736a679b2,Luz Lending,Luz Ramos,+63 950 552 4501,pawnshop,2026-08-22,suspended
be08dfe3-f201-573d-99e9-1eb6a8daa93e,Lorna Mini Stop,Lorna Garcia,+63 919 390 9445,convenience_store,2024-02-15,inactive
742be74a-689a-5579-a5b8-ff2c0f42881a,Pedro's Sari-Sari,Pedro Torres,+63 928 925 4262,sari_sari_store,2025-08-21,active
63488871-4c35-59dc-8d07-812463b1c1dd,Tindahan ni Jose,Jose Torres,+63 975 970 2193,sari_sari_store,2023-11-29,active
3806a900-4e31-58b5-b75d-e49f91428dc7,Fe Express,Fe Castro,+63 945 606 7547,convenience_store,2025-01-20,active
297f566b-23d0-5127-aeee-470a1fc16520,Aling Luz's Store,Luz Santos,+63 946 324 3881,sari_sari_store,2023-09-08,suspended
ce84180c-18f6-552e-a086-edef79130cea,Jose Express,Jose Villanueva,+63 920 567 3184,convenience_store,2025-03-09,active
929f7992-9ad5-5bba-a86d-cdd127a38be6,Ana Padala Center,Ana Villanueva,+63 950 727 9270,remittance_center,2025-01-20,active
cc54275e-ed1d-57ae-87ac-bd3f33a0d37a,Botica ni Rolando,Rolando Garcia,+63 955 560 5246,pharmacy,2025-08-21,active
12a3494f-10cd-5510-9bd2-7f6d059cbbd2,Ricardo Lending,Ricardo Hernandez,+63 977 344 5499,pawnshop,2026-04-10,active
82ead168-b511-5518-ae41-2290ab90c234,Mang Teresa's Tindahan,Teresa Andrade,+63 929 443 6238,sari_sari_store,2023-09-20,suspended
00441661-47f2-50c6-8456-3e104c713caf,Mang Miguel's Tindahan,Miguel Ocampo,+63 945 810 3503,sari_sari_store,2025-03-22,active
da71cb0e-ef38-5d8f-b284-f7e94f1c262f,Ernesto's Sari-Sari,Ernesto Flores,+63 961 577 7812,sari_sari_store,2025-07-15,active
ea89d7f7-9635-539a-bd2a-a684d0bc3dea,Tindahan ni Nelia,Nelia Flores,+63 966 812 1320,sari_sari_store,2026-04-13,inactive
5ed04869-63d3-5157-add4-2b50eed27681,Maria's Sari-Sari,Maria Santos,+63 930 871 7389,sari_sari_store,2026-07-06,active
1970cb46-f424-5f19-bbe3-54410bbf3c70,Botica ni Josefina,Josefina Villanueva,+63 928 599 4595,pharmacy,2025-11-21,active
3926930c-52e1-5eb9-b18f-425016f8b07c,Maria Convenience,Maria Santos,+63 935 784 7624,convenience_store,2025-05-02,active
635e7a6f-f49d-503e-a7ea-f0913bdb6d00,Erlinda Mini Stop,Erlinda Ocampo,+63 961 127 7455,convenience_store,2025-12-18,inactive
99e3cd03-3e1e-5997-98a5-58fde86e9924,Gloria Pawnshop,Gloria Santos,+63 977 538 3223,pawnshop,2026-02-04,active
5f1a15b5-0c23-588a-9746-0d1f3f7af148,Tindahan ni Jose,Jose Tomas,+63 935 316 8449,sari_sari_store,2024-01-23,active
fe823172-4573-5784-82c0-62d7513e5bf4,Rosario's Sari-Sari,Rosario Rivera,+63 946 358 2341,sari_sari_store,2025-10-31,active
e1882e45-7e45-5c3e-9ef4-3036d746966f,Aling Josefina's Store,Josefina Villanueva,+63 936 329 2124,sari_sari_store,2025-04-20,active
